state,State Average AQI,State Max AQI,State Min AQI,State Median AQI,State dominant pollutant,lat,lon
Andhra Pradesh,33.0,307,1,21.5,PM2.5,13.20488,77.593027
Arunachal Pradesh,9.0,31,1,7.5,PM2.5,27.103358,93.679645
Assam,22.0,88,1,15.5,PM10,24.82827,91.439057
Bihar,25.0,203,1,18.5,CO,24.75746,83.966379
Chandigarh,22.0,314,1,23.0,NH3,30.719859,76.738637
Chhattisgarh,17.0,222,1,13.0,NO2,21.194815,81.31477
Delhi,43.0,433,1,29.0,PM2.5,28.4706914,76.933762
Gujarat,26.0,206,1,21.0,PM10,20.362421,72.456691
Haryana,38.0,329,11,20.0,OZONE,28.3153,76.9143
Himachal Pradesh,48.0,192,15,52.0,OZONE,30.943887,76.801991
Jharkhand,36.0,153,1,31.0,CO,23.707909,86.41467
Karnataka,20.0,163,1,17.0,PM10,12.21041,74.141003
Kerala,25.0,138,1,15.5,OZONE,8.5149093,75.3732
Madhya Pradesh,27.0,412,1,24.0,PM10,22.431,75.045981
Maharashtra,22.0,500,1,18.0,PM10,16.5038,72.757971
Meghalaya,5.0,25,1,6.0,PM2.5,25.5586,91.8985
Nagaland,20.0,67,1,7.0,CO,25.6635413,94.0989878
Odisha,20.0,114,1,17.0,PM2.5,20.24079,83.8396977
Puducherry,15.0,88,1,16.0,PM10,11.9309,79.8027
Punjab,32.0,134,10,27.5,CO,30.233011,74.876512
Rajasthan,28.0,491,1,19.0,NO2,23.55519,70.909168
Sikkim,12.0,40,1,8.5,PM2.5,27.33853,88.614099
TamilNadu,20.0,500,1,15.0,PM2.5,8.728442,76.7138973
Telangana,25.0,142,1,19.0,OZONE,17.349694,78.126199
Tripura,15.0,27,26,13.0,PM10,23.8175497,91.2726974
Uttar Pradesh,31.0,324,1,24.0,PM10,25.262326,77.278761
Uttarakhand,17.0,95,1,13.5,NO2,29.2124114,78.044167
West Bengal,22.0,173,1,20.0,OZONE,22.06047,86.944395
